City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2789,Butaritari,KI,83.37,clear sky,3.0707,172.7902,Isles Sunset Lodge
2790,Ravenna,IT,77.22,clear sky,44.4167,11.9833,Hotel Tatì
2791,Shache,CN,87.42,broken clouds,38.4167,77.2406,Delong Hotel
2792,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
2797,Muroto,JP,77.04,moderate rain,33.2833,134.15,Oota Ryokan
2799,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
2800,Waddan,LY,82.08,clear sky,29.1614,16.139,محل الشريف محمد العايب
2802,Phanom Sarakham,TH,85.89,broken clouds,13.7479,101.3553,SC Resort
2806,Kavieng,PG,83.77,light rain,-2.5744,150.7967,Nusa Island Retreat
2808,Pueblo,US,88.38,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
2810,Cabo San Lucas,MX,83.52,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
2811,Apopka,US,81.64,clear sky,28.6806,-81.5095,Hampton Inn & Suites Orlando-Apopka
2821,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
2823,Albany,US,79.48,overcast clouds,42.6001,-73.9662,
2826,Lufilufi,WS,89.38,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
2829,Veraval,IN,82.0,overcast clouds,20.9,70.3667,Lords Inn Somnath
2835,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
2838,Atuona,PF,77.31,few clouds,-9.8,-139.0333,Villa Enata
2841,Guerrero Negro,MX,76.64,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
2842,Auki,SB,77.9,light rain,-8.7676,160.7034,Auki Motel
2845,Curup,ID,82.63,overcast clouds,-3.4667,102.5333,Ayi The Costel
2846,Karratha,AU,76.6,clear sky,-20.7377,116.8463,ibis Styles Karratha
2856,Nizhniy Kuranakh,RU,77.31,few clouds,58.8353,125.4869,Park Pobedy
2860,Fukue,JP,77.36,light intensity shower rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
2861,Cape Canaveral,US,84.07,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
2862,Biltine,TD,77.61,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
2866,Buchanan,LR,75.16,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
2868,Camargo,MX,75.43,broken clouds,27.6667,-105.1667,Hotel Santa Fe
2874,Hoa Binh,VN,80.49,overcast clouds,20.8133,105.3383,Hoa Dao Hotel
2877,Solok,ID,79.75,overcast clouds,-0.7918,100.6593,Mami Hotel & Restaurant
2879,Bethel,US,79.16,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
2883,Yarmouth,US,76.44,mist,41.7057,-70.2286,Blue Rock Resort
2885,Shimoda,JP,80.96,moderate rain,34.6667,138.95,Shimoda Tokyu Hotel
2886,Bengkulu,ID,83.91,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
2887,Rincon,US,82.85,scattered clouds,32.296,-81.2354,Days Inn Rincon
2889,Morant Bay,JM,83.82,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
2891,Nabannagan,PH,77.74,overcast clouds,18.0715,121.5338,
2893,Kurchum,KZ,78.49,scattered clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
2899,Isangel,VU,75.31,broken clouds,-19.55,169.2667,Tanna Lodge
2901,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
2902,Bud,US,82.9,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
2904,High Rock,BS,78.82,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
2905,Iralaya,HN,79.54,overcast clouds,15.0,-83.2333,Iglesia morava renovada
2908,Katsuura,JP,84.24,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
2910,Nantucket,US,77.09,fog,41.2835,-70.0995,Jared Coffin House
2911,Yerbogachen,RU,77.81,clear sky,61.2767,108.0108,
2923,Bilma,NE,87.51,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
2924,Ixtapa,MX,77.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
2926,Port Blair,IN,82.2,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
2927,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
2928,Hithadhoo,MV,82.47,overcast clouds,-0.6,73.0833,Scoop Guest House
2930,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
2932,Teknaf,BD,85.51,overcast clouds,20.8624,92.3058,Forestry Guesthouse
2937,Sola,VU,79.47,overcast clouds,-13.8833,167.55,Leumerus Bungalows
2944,Fortuna,US,79.48,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
2945,Xam Nua,LA,86.85,broken clouds,20.4197,104.0439,Xee Wang Guesthouse
2948,Hurghada,EG,84.24,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
2950,Det Udom,TH,84.02,overcast clouds,14.906,105.0784,Chatsuda Resort
2955,Mazagao,BR,77.05,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
2956,Kawalu,ID,81.7,scattered clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
2958,Vanimo,PG,85.78,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
2962,Courtenay,CA,75.92,scattered clouds,49.6866,-124.9936,Bayview Hotel
2963,Parrita,CR,83.26,overcast clouds,9.5201,-84.3225,Beso del Viento
2964,Victoria,HK,89.65,moderate rain,22.2855,114.1577,Mini Hotel Central
2968,Manali,IN,87.89,overcast clouds,13.1667,80.2667,Sarathy Lodge
