City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description,Current Description
0,Cape Town,-33.9258,18.4232,48.11,100,0,1.14,ZA,2021-08-11 01:26:46,,
1,Butaritari,3.0707,172.7902,83.32,66,7,11.21,KI,2021-08-11 01:33:38,,
2,Ravenna,44.4167,11.9833,78.1,91,75,2.68,IT,2021-08-11 01:36:37,,
3,Shache,38.4167,77.2406,82.47,19,0,1.97,CN,2021-08-11 01:36:39,,
4,Hilo,19.7297,-155.09,83.93,80,75,8.05,US,2021-08-11 01:33:41,,
5,Longford,53.7333,-7.8,58.15,96,100,9.73,IE,2021-08-11 01:36:40,,
6,Luderitz,-26.6481,15.1594,57.83,68,90,15.7,NA,2021-08-11 01:34:26,,
7,Chuy,-33.6971,-53.4616,42.49,79,6,7.49,UY,2021-08-11 01:33:41,,
8,Vaini,-21.2,-175.2,69.96,78,75,13.8,TO,2021-08-11 01:33:02,,
9,Muroto,33.2833,134.15,82.44,84,100,15.41,JP,2021-08-11 01:36:40,,
10,Cajabamba,-7.6167,-78.05,53.56,77,22,4.38,PE,2021-08-11 01:36:41,,
11,Padang,-0.9492,100.3543,77.05,70,99,4.34,ID,2021-08-11 01:36:14,,
12,Waddan,29.1614,16.139,81.55,36,0,3.36,LY,2021-08-11 01:36:41,,
13,Hervey Bay,-25.2986,152.8535,71.71,62,2,10.83,AU,2021-08-11 01:36:42,,
14,Phanom Sarakham,13.7479,101.3553,85.89,78,100,8.77,TH,2021-08-11 01:36:42,,
15,Mar Del Plata,-38.0023,-57.5575,33.82,93,2,3.44,AR,2021-08-11 01:34:49,,
16,Port Elizabeth,-33.918,25.5701,44.89,93,0,2.3,ZA,2021-08-11 01:33:09,,
17,Hobart,-42.8794,147.3294,60.66,61,75,7.0,AU,2021-08-11 01:31:19,,
18,Kavieng,-2.5744,150.7967,86.41,60,6,8.12,PG,2021-08-11 01:36:43,,
19,Kodiak,57.79,-152.4072,56.39,71,100,2.35,US,2021-08-11 01:33:37,,
20,Pueblo,38.2545,-104.6091,92.91,26,1,8.05,US,2021-08-11 01:36:43,,
21,Ketchikan,55.3422,-131.6461,63.07,77,40,0.0,US,2021-08-11 01:36:43,,
22,Cabo San Lucas,22.8909,-109.9124,84.15,86,90,12.66,MX,2021-08-11 01:33:21,,
23,Apopka,28.6806,-81.5095,83.01,79,100,3.85,US,2021-08-11 01:36:32,,
24,Grao Mogol,-16.5594,-42.8897,61.52,52,43,0.85,BR,2021-08-11 01:36:44,,
25,Nikolskoye,59.7035,30.7861,57.02,90,95,0.72,RU,2021-08-11 01:30:38,,
26,Kondinskoye,59.6481,67.41,53.92,71,98,12.37,RU,2021-08-11 01:36:44,,
27,Necochea,-38.5473,-58.7368,40.6,50,7,9.6,AR,2021-08-11 01:36:45,,
28,Busselton,-33.65,115.3333,52.05,67,90,12.03,AU,2021-08-11 01:31:46,,
29,Port-Cartier,50.0334,-66.8654,62.82,98,100,4.41,CA,2021-08-11 01:35:40,,
30,Kruisfontein,-34.0033,24.7314,50.25,29,0,8.61,ZA,2021-08-11 01:35:00,,
31,Ushuaia,-54.8,-68.3,37.06,70,20,23.02,AR,2021-08-11 01:30:54,,
32,Sao Jose Da Coroa Grande,-8.8978,-35.1478,74.12,91,60,9.46,BR,2021-08-11 01:34:38,,
33,Salalah,17.0151,54.0924,75.29,100,90,4.61,OM,2021-08-11 01:36:46,,
34,Tasiilaq,65.6145,-37.6368,51.96,90,100,4.88,GL,2021-08-11 01:34:11,,
35,Albany,42.6001,-73.9662,77.67,82,57,4.41,US,2021-08-11 01:29:26,,
36,Puerto Ayora,-0.7393,-90.3518,69.55,90,99,5.99,EC,2021-08-11 01:30:39,,
37,Killybegs,54.6333,-8.45,60.46,89,100,11.7,IE,2021-08-11 01:36:46,,
38,Lufilufi,-13.8745,-171.5986,89.38,71,4,17.81,WS,2021-08-11 01:36:47,,
39,Hermanus,-34.4187,19.2345,47.89,71,0,0.89,ZA,2021-08-11 01:33:23,,
40,Provideniya,64.3833,-173.3,50.11,71,90,6.71,RU,2021-08-11 01:32:26,,
41,Veraval,20.9,70.3667,81.37,79,100,12.8,IN,2021-08-11 01:36:47,,
42,Chokurdakh,70.6333,147.9167,67.15,39,79,6.91,RU,2021-08-11 01:33:36,,
43,Quelimane,-17.8786,36.8883,64.35,88,20,4.61,MZ,2021-08-11 01:36:48,,
44,Bara,10.3744,10.7288,72.07,95,100,5.3,NG,2021-08-11 01:36:48,,
45,Hualmay,-11.0964,-77.6139,61.99,81,50,9.51,PE,2021-08-11 01:36:49,,
46,Port Alfred,-33.5906,26.891,55.4,55,0,8.43,ZA,2021-08-11 01:32:33,,
47,Georgetown,5.4112,100.3354,80.89,83,20,1.99,MY,2021-08-11 01:31:38,,
48,New Norfolk,-42.7826,147.0587,60.3,68,100,1.99,AU,2021-08-11 01:33:33,,
49,Castro,-24.7911,-50.0119,60.93,60,100,2.51,BR,2021-08-11 01:34:19,,
50,Atuona,-9.8,-139.0333,77.61,74,8,22.46,PF,2021-08-11 01:30:20,,
51,Carnarvon,-24.8667,113.6333,59.07,46,0,18.41,AU,2021-08-11 01:34:35,,
52,Tuni,17.35,82.55,86.05,66,99,3.56,IN,2021-08-11 01:36:51,,
53,Guerrero Negro,27.9769,-114.0611,77.34,65,9,13.69,MX,2021-08-11 01:30:36,,
54,Auki,-8.7676,160.7034,82.81,73,62,5.73,SB,2021-08-11 01:36:51,,
55,Sao Miguel Do Araguaia,-13.275,-50.1628,75.83,33,88,3.44,BR,2021-08-11 01:36:51,,
56,Barrow,71.2906,-156.7887,37.42,77,90,6.91,US,2021-08-11 01:30:31,,
57,Curup,-3.4667,102.5333,75.72,80,98,3.53,ID,2021-08-11 01:36:52,,
58,Karratha,-20.7377,116.8463,69.62,22,0,23.6,AU,2021-08-11 01:36:06,,
59,Zalantun,48.0,122.7167,60.46,87,100,11.39,CN,2021-08-11 01:36:53,,
60,Anadyr,64.75,177.4833,63.1,55,0,6.71,RU,2021-08-11 01:36:53,,
61,Piacabucu,-10.4056,-36.4344,72.73,79,34,7.99,BR,2021-08-11 01:34:01,,
62,Pori,61.4833,21.7833,53.67,100,23,5.75,FI,2021-08-11 01:36:53,,
63,Rikitea,-23.1203,-134.9692,70.65,66,0,13.58,PF,2021-08-11 01:30:29,,
64,Saint-Philippe,-21.3585,55.7679,65.79,84,22,7.18,RE,2021-08-11 01:33:40,,
65,Dikson,73.5069,80.5464,40.1,94,100,20.29,RU,2021-08-11 01:33:42,,
66,Mumford,5.2618,-0.759,74.07,92,45,9.6,GH,2021-08-11 01:36:54,,
67,Avarua,-21.2078,-159.775,80.65,74,0,4.61,CK,2021-08-11 01:33:09,,
68,Nizhniy Kuranakh,58.8353,125.4869,74.14,50,36,7.54,RU,2021-08-11 01:36:54,,
69,Deputatskiy,69.3,139.9,77.38,25,98,7.0,RU,2021-08-11 01:36:55,,
70,Tiksi,71.6872,128.8694,63.18,78,100,13.96,RU,2021-08-11 01:34:06,,
71,Punta Arenas,-53.15,-70.9167,37.51,75,75,16.11,CL,2021-08-11 01:30:33,,
72,Fukue,32.6881,128.8419,77.36,100,75,10.36,JP,2021-08-11 01:36:55,,
73,Cape Canaveral,28.4058,-80.6048,83.07,84,3,7.67,US,2021-08-11 01:36:56,,
74,Biltine,14.5333,20.9167,77.59,81,100,6.2,TD,2021-08-11 01:36:56,,
75,Mataura,-46.1927,168.8643,57.47,66,98,6.82,NZ,2021-08-11 01:31:55,,
76,San Carlos De Bariloche,-41.1456,-71.3082,35.35,44,0,8.05,AR,2021-08-11 01:32:24,,
77,Thompson,55.7435,-97.8558,59.16,94,75,5.75,CA,2021-08-11 01:33:47,,
78,Buchanan,5.8808,-10.0467,76.64,86,86,7.36,LR,2021-08-11 01:33:46,,
79,Morondava,-20.2833,44.2833,65.71,61,0,9.75,MG,2021-08-11 01:36:57,,
80,Camargo,27.6667,-105.1667,87.69,23,38,11.3,MX,2021-08-11 01:36:57,,
81,Korce,40.6186,20.7808,70.09,39,20,2.68,AL,2021-08-11 01:36:58,,
82,Norman Wells,65.282,-126.8329,55.44,82,90,0.0,CA,2021-08-11 01:33:42,,
